关系抽取_RE_Spatial_Cognitive,关系抽取_RE_Cognitive_Emotion,关系抽取_RE_Emotion_Behavior,关系抽取_RE_Spatial_Emotion
[老浦口大马路市集] -> [有年味]; [街头巷尾] -> [热闹],[热闹氛围] -> [愉悦/开心]; [节日气氛] -> [兴趣/好奇],[愉悦/开心] -> [下次再来],[年味氛围] -> [兴趣/好奇]
无法判断,无法判断,无法判断,无法判断
,,,
[蓝色天然气公交车] -> [有特色/有辨识度],[怀旧感] -> [怀旧/温馨],[怀旧/温馨] -> [观察、发现],[蓝色天然气公交车] -> [怀旧/温馨]
[滨江骑行道] -> [路线清晰]; [下关火车主题公园] -> [有历史感],[视野开阔] -> [放松/平静]; [有历史感] -> [兴趣/好奇],[放松/平静] -> [想常来]; [兴趣/好奇] -> [推荐],[滨江城市天际线] -> [愉悦/开心]; [江风] -> [舒适]
[锈迹斑斑的钢轨] -> [独具风韵]; [原貌保存的铁路元素] -> [有人文风情],[历史感] -> [怀旧/温馨]; [铁路元素保存完好] -> [兴趣/好奇],[怀旧/温馨] -> [推荐参观],[历经沧桑的站房] -> [怀旧/温馨]
[候鸟] -> [萌态十足]; [暖阳高照] -> [温暖],[萌态十足] -> [愉悦/开心]; [自由自在] -> [放松/平静],[愉悦/开心] -> [拍摄视频并分享]; [放松/平静] -> [想再来],[候鸟飞翔] -> [敬畏/惊叹]
[橘子海] -> [出片]; [工业风建筑] -> [好看],[有美景收藏] -> [愉悦/开心]; [有设计感] -> [兴趣/好奇],[愉悦/开心] -> [想常来]; [兴趣/好奇] -> [邀请朋友打卡],[橘子海落日] -> [愉悦/开心]
[浦口火车站] -> [有历史感]; [老式站台] -> [怀旧],[独特冬日氛围] -> [放松/平静]; [历史感] -> [敬畏/惊叹],[放松/平静] -> [待了很久]; [敬畏/惊叹] -> [推荐],[冬日雪景] -> [治愈/惊喜]; [老火车站] -> [怀旧/温馨]
[下关火车主题公园] -> [浪漫氛围]; [江面与落日] -> [非常好看],[浪漫氛围] -> [愉悦/开心]; [电影感设计] -> [兴趣/好奇],[愉悦/开心] -> [长时间停留进行摄影创作],[江面与落日景观] -> [愉悦/开心]
[长江大桥] -> [雄伟]; [三面红旗桥墩] -> [造型古朴],[历史厚重感] -> [敬畏/惊叹]; [雄伟] -> [自豪/归属感],[自豪/归属感] -> [推荐/下次还来],[古朴大桥与现代高铁同框] -> [惊叹/自豪]
[浦口火车站] -> [有历史感]; [民国风格建筑] -> [出片],[有文化底蕴] -> [自豪/归属感]; [怀旧氛围] -> [怀旧/温馨],[兴趣/好奇] -> [参观并拍照打卡],[民国风格建筑] -> [怀旧/温馨]
[下关火车主题公园] -> [设置项目接待中心],,,
[南京下关火车主题公园] -> [有历史感]; [火车站] -> [有象征意义],[有象征意义] -> [自豪/归属感]; [有故事] -> [怀旧/温馨],[自豪/归属感] -> [推荐/下次还来],[绿皮火车] -> [怀旧/温馨]
[浦口火车站] -> [有历史感],[怀旧氛围] -> [怀旧/温馨],[怀旧/温馨] -> [推荐/想再来],[复古建筑] -> [怀旧/温馨]
[民国首都电厂旧址公园] -> [有历史感]; [铁路轮渡栈桥旧址] -> [有故事],[有历史感] -> [平静],[平静] -> [游览],
[锈迹斑斑的钢轨] -> [独具风韵]; [历经沧桑的站房] -> [承载历史记忆],[人文风情浓厚] -> [怀旧/温馨]; [有文化底蕴] -> [敬佩/赞叹],[怀旧/温馨] -> [推荐/具有探访价值],[沉默不语的信号灯] -> [怀旧/温馨]
[落日、晚霞、橘色黄昏、夜色阑珊] -> [浪漫; 治愈],[浪漫] -> [愉悦/开心]; [治愈] -> [放松/平静],[愉悦/开心; 放松/平静] -> [积极倾向（暗示下次还想来）],[落日、晚霞、橘色黄昏、夜色阑珊] -> [愉悦/开心; 放松/平静]
[下关火车主题公园] -> [建设中],[建设中状态] -> [怀旧/温馨],[怀旧/温馨] -> [参观并记录],[机车视角] -> [怀旧/温馨]
[浦口火车站] -> [怀旧风]; [长江轮渡] -> [原始模样],[怀旧氛围] -> [怀旧/温馨],[怀旧/温馨] -> [下次还来],[浦口火车站] -> [怀旧/温馨]
[历史建筑群] -> [有历史感]; [长江] -> [出片],[出片] -> [愉悦/开心]; [怀旧氛围] -> [怀旧/温馨],[愉悦/开心] -> [推荐; 想常来],[长江景色] -> [愉悦/开心]
,,,
[浦口火车站] -> [中国最文艺的火车站]; [复古文艺范的路牌店招陈设] -> [历史与现代完美融合],[文艺氛围] -> [愉悦/开心]; [文学记忆联想] -> [怀旧/温馨],[愉悦/开心] -> [非常值得来打卡]; [怀旧/温馨] -> [推荐],[复古文艺风格] -> [愉悦/开心]
[绿皮火车] -> [特别好出片]; [火车车厢] -> [适合很多风格],[特别好出片] -> [愉悦/开心]; [适合很多风格] -> [兴趣/好奇],[愉悦/开心] -> [推荐; 下次还来],[绿皮火车和江景] -> [愉悦/开心]
[挡板遮住道路] -> [路线不清晰]; [浦口站灯火] -> [视觉美感],[错过夕阳] -> [遗憾]; [汽笛声+音乐] -> [怀旧/温馨],[怀旧/温馨] -> [轻轻道别/下次还来],[火车汽笛声] -> [怀旧/温馨]
[下关火车主题公园] -> [有历史感],[有历史感] -> [兴趣/好奇],[兴趣/好奇] -> [想来],
[下关滨江风光带] -> [满满的历史气息]; [滨江步道] -> [适合走走停停],[历史气息] -> [怀旧/温馨]; [独特氛围] -> [愉悦/开心],[怀旧/温馨] -> [推荐/值得来],[江风] -> [放松/平静]
[下关火车主题公园] -> [有设计感],[有设计感] -> [兴趣/好奇],[兴趣/好奇] -> [推荐/潜在推荐],[工业风建筑] -> [兴趣/好奇]
[梧桐大道] -> [风景美]; [枫叶小路] -> [宁静氛围],[温馨聚餐] -> [放松/平静]; [历史建筑] -> [怀旧/温馨],[愉悦/开心] -> [多次重访南京],[红色枫叶] -> [愉悦/开心]; [朱自清背景板] -> [怀旧/温馨]
[郑和宝船模型] -> [栩栩如生]; [全景沙盘] -> [尽收眼底],[身临其境] -> [敬畏/惊叹]; [未来规划展示] -> [期待感],[期待感] -> [想常来]; [敬畏/惊叹] -> [推荐],[老下关历史展示] -> [怀旧; 敬畏]; [滨江商务区规划] -> [期待]
[南京下关火车主题公园] -> [适合摄影创作]; [滨江风光带] -> [开阔江景],[适合摄影创作] -> [兴趣/好奇]; [工业美学特色] -> [愉悦/开心],[兴趣/好奇] -> [推荐/下次还来],[滨江风光带] -> [愉悦/开心]
[浦口火车站] -> [有历史感]; [定淮门隧道] -> [路线不清晰],[文学记忆联想] -> [怀旧/温馨]; [路线不清晰] -> [挫败/烦恼],[挫败/烦恼] -> [不会特意再来],[月台] -> [怀旧/温馨]
[夕阳西下景色] -> [景色美],[景色美] -> [愉悦/开心],[愉悦/开心] -> [拍照],[暮色江畔] -> [敬畏/惊叹]
[下关火车主题公园] -> [普通]; [列车包厢] -> [不实用],[服务差] -> [挫败/烦恼]; [历史联想] -> [怀旧/温馨],[挫败/烦恼] -> [不会推荐/不会再来],
[梧桐树] -> [很美]; [南京西站] -> [很怀旧],[很美] -> [愉悦/开心]; [怀旧] -> [怀旧/温馨],[愉悦/开心] -> [推荐]; [怀旧/温馨] -> [想常来],[梧桐树下的历史建筑] -> [放松/平静]
[塔吊、传输机] -> [有故事],[有历史感] -> [敬畏/惊叹]; [有故事] -> [悲伤/失望],[敬畏/惊叹] -> [参观]; [悲伤/失望] -> [缅怀],[塔吊、传输机] -> [敬畏/惊叹]
[下关火车主题公园偏门景点] -> [也不错],[也不错] -> [愉悦/开心]; [江风吹拂] -> [放松/平静],[愉悦/开心] -> [推荐/下次还想来],[江风吹拂] -> [放松/平静]
[夕阳] -> [很舒服]; [长江轮渡] -> [安静宜人],[宁静] -> [放松/平静]; [夕阳] -> [愉悦/开心]; [怀旧感] -> [怀旧/温馨],[放松/平静] -> [待了很久]; [愉悦/开心] -> [推荐/下次还来],[夕阳; 长江; 浪花] -> [愉悦/开心]; [栈桥; 火车主题园] -> [怀旧/温馨]
,,,
[老建筑] -> [有年代感]; [试驾路线] -> [路线清晰],[有穿越感] -> [敬畏/惊叹]; [出片率高] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[具有年代感的老建筑] -> [敬畏/惊叹]
[地下水渗出] -> [影响运行安全]; [公交接驳线路] -> [路线清晰但需注意区分],[出行不便] -> [挫败/烦恼]; [早晚高峰隧道堵车] -> [焦虑/害怕],[挫败/烦恼] -> [避免使用受影响地铁段]; [焦虑/害怕] -> [提前出门],
[中山码头-浦口码头] -> [文学意义联想],[文学意义联想] -> [怀旧/温馨],[怀旧/温馨] -> [推荐/下次还来],
[浦口火车站] -> [文艺],[文艺] -> [愉悦/开心],[愉悦/开心] -> [推荐],[文艺风格建筑] -> [愉悦/开心]
[3km滨江路线] -> [浪漫]; [S型弯道] -> [生活感照片],[美绝啦夕阳] -> [愉悦/开心]; [微风拂面的畅快] -> [放松/平静],[愉悦/开心] -> [推荐路线/适合中秋团聚],[夕阳] -> [美绝啦]; [微风] -> [畅快]
,,,
,,[中性情绪] -> [请求照片],
[玻璃栈道] -> [拍南京长江大桥的胜地]; [民国风格建筑] -> [有故事],[历史厚重] -> [怀旧/温馨]; [出片] -> [愉悦/开心],[愉悦/开心] -> [推荐前往]; [放松/平静] -> [收获一下午的快乐],[微凉江风和粼粼江波] -> [放松/平静]
[绿皮火车] -> [别有一番风味]; [栈桥] -> [跨越历史的长河],[复古工业风] -> [怀旧/温馨]; [波光粼粼的水面] -> [愉悦/开心],[愉悦/开心] -> [推荐/想来体验],[芦苇荡+江面+栈桥] -> [愉悦/开心]
[浦口码头] -> [滨江风光带的节点之地]; [红房子建筑群] -> [修葺如新],[历史见证者] -> [自豪/归属感]; [有回忆] -> [怀旧/温馨],[自豪/归属感] -> [独自前来打卡],[民国建筑] -> [怀旧/温馨]
[下关火车主题公园] -> [有历史感]; [长江大桥玻璃栈道] -> [开阔江景]; [风] -> [超级凉爽],[超级凉爽] -> [舒适/安全]; [开阔江景] -> [放松/平静],[愉悦/开心] -> [推荐/下次还来]; [舒适/安全] -> [说最多的话是'太舒服啦'],[风] -> [舒适/安全]
[长江] -> [服务范围扩展],[服务范围扩展] -> [愉悦/开心],,
[南京下关火车主题公园] -> [适合摄影],[适合摄影] -> [兴趣/好奇],[兴趣/好奇] -> [周末随拍],[滨江风光带] -> [愉悦/开心]
[江豚] -> [值得关注],[值得关注] -> [兴趣/好奇],[兴趣/好奇] -> [推荐观看江豚],[江豚] -> [愉悦/开心]
[口袋公园平面布局] -> [绿地空间一体化]; [文化展示风雨廊] -> [提供市民休憩功能],[打造特色小型口袋公园] -> [自豪/归属感],[自豪/归属感] -> [推荐/有积极意义],
[玻璃栈道] -> [可步行体验]; [历史遗迹群] -> [历史联想],[完成17.28公里步行] -> [自豪/归属感],[自豪感] -> [持续探索行为],
[民国风格站台] -> [很有感觉]; [绿皮火车和轨道] -> [适合拍照],[适合拍照] -> [愉悦/开心]; [不一样的感觉] -> [放松/平静],[愉悦/开心] -> [推荐周一到周五去],[落日余晖] -> [放松/平静]
,[对南京的记忆] -> [自豪/归属感],[自豪/归属感] -> [想要记住南京],
[落日余晖] -> [浪漫]; [绿皮火车] -> [出片],[浪漫氛围] -> [愉悦/开心]; [视野开阔] -> [放松/平静],[愉悦/开心] -> [拍照很出片]; [放松/平静] -> [想多拍几张照片],[山映斜阳天接水] -> [敬畏/惊叹]; [芳草无情] -> [浪漫]
[渡轮] -> [适合家庭出游]; [浦口火车站] -> [有历史感],[欢乐氛围] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[与家人同游] -> [放松/平静]
[浦口火车站近代建筑] -> [有历史感/怀旧]; [老式站台] -> [有年代感],[有历史韵味] -> [怀旧/温馨]; [建筑协调统一] -> [舒适/安全],[怀旧/温馨] -> [推荐; 想常来]; [舒适/安全] -> [拍照很出片],[近代建筑风貌] -> [怀旧/温馨]; [工业风建筑] -> [敬佩/惊叹]
,,[愉悦/开心] -> [外公外婆带着虎师傅一起参观],
[下关主题公园] -> [绝美拍摄地]; [火车与夕阳] -> [很出片],[很出片] -> [愉悦/开心]; [粉色晚霞] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 下次还来],[粉色晚霞+夕阳] -> [愉悦/开心]; [火车与江景] -> [敬畏/惊叹]
[南京长江大桥] -> [纪念性]; [斑驳陈旧的公园] -> [历史感],[岁月的意义] -> [怀旧/温馨]; [儿子满不在乎] -> [悲伤/失落],[悲伤/失落] -> [未来五十年后的回访计划],[斑驳陈旧的公园] -> [怀旧/温馨]
[铁路轮渡栈桥] -> [有历史感]; [民国建筑群] -> [有故事],[有历史感] -> [怀旧/温馨],[怀旧/温馨] -> [推荐/想再来],[眺望长江大桥] -> [好奇/兴趣]
[下关电厂旧址口袋公园] -> [满足市民游憩健身需求]; [下关电厂旧址口袋公园] -> [亮丽风景线],[满足市民游憩健身需求] -> [舒适/安全]; [亮丽风景线] -> [愉悦/开心],[舒适/安全] -> [适合来一次公园漫步],[秋高气爽] -> [愉悦/开心]
[南京铁路轮渡栈桥旧址] -> [中国最早的火车轮渡]; [活动引桥设计] -> [技术先进],[中国十大工程之一] -> [自豪/归属感]; [美轮美奂，东亚无双] -> [敬佩],[自豪/归属感] -> [历史学习],[铁路轮渡的历史地位] -> [敬佩]
[轮渡在落日余晖中] -> [美妙太绝],[美妙太绝] -> [愉悦/开心; 敬畏/惊叹],[愉悦/开心] -> [主动观赏],[落日余晖] -> [愉悦/开心]
[浦口火车站] -> [一直想来的],[一直想来的] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],
[朱自清笔下的火车站] -> [有历史感]; [包公园] -> [闹中取静],[有历史感] -> [敬爱/怀念]; [睡得很美] -> [放松/平静],[愉悦/开心] -> [要多待一天了],[夕阳照射的城景] -> [愉悦/开心]
[白云石矿废弃矿坑] -> [创新生态修复理念]; [南区主馆与北区辅馆通过巷道连接] -> [观展动线连贯],[文化氛围浓厚] -> [自豪/归属感]; [传承长江文化] -> [希望/期待],[希望/期待] -> [积极倾向：规划建设中吸引潜在游客],[滨江风貌] -> [自豪/归属感]
[历史遗迹] -> [有文化底蕴],[历史文化意义] -> [兴趣/好奇],[愉悦/开心] -> [推荐/适合家庭出游],[江豚观赏点] -> [兴趣/好奇]; [玻璃栈道] -> [兴奋/期待]
[蒸汽火车头; 绿皮火车车厢] -> [有历史感]; [花草树木] -> [十分美丽],[美丽] -> [愉悦/开心]; [有历史感] -> [怀旧/温馨],[愉悦/开心] -> [推荐/想再来],[蒸汽火车头与绿皮车厢] -> [敬爱/惊叹]
,,,
[下关火车主题公园] -> [蛮有特色]; [火车下午茶和餐厅] -> [复古氛围拿捏得很好],[蛮有特色] -> [愉悦/开心]; [消暑纳凉] -> [放松/平静],[愉悦/开心] -> [推荐/下次还来],[金色的黄昏; 斑斓的晚霞] -> [愉悦/开心]
[下关火车主题公园] -> [有历史感]; [长江大桥] -> [地标性]; [玻璃栈桥] -> [出片],[无敌江景] -> [愉悦/开心]; [蓝天白云] -> [放松/平静],[愉悦/开心] -> [推荐/下次还来],[无敌江景] -> [敬畏/惊叹]
[蒸汽火车头; 绿皮火车车厢; 民国特色老式火车站候车厅] -> [有历史感; 怀旧],[怀旧氛围] -> [怀旧/温馨]; [历史感] -> [愉悦/开心],[怀旧/温馨] -> [推荐/下次还来],[民国风格建筑] -> [怀旧/温馨]
,,,
[铁路轮渡栈桥旧址] -> [适合观景]; [夕阳] -> [美丽],[宁静氛围] -> [放松/平静]; [美丽景色] -> [愉悦/开心],[愉悦/开心] -> [下次还来],[夕阳景观] -> [愉悦/开心]
,,,
[火车; 月台] -> [文艺]; [铁路轮渡栈桥旧址] -> [很好出片],[文艺氛围] -> [愉悦/开心]; [惬意感受] -> [放松/平静],[愉悦/开心] -> [拍照打卡]; [放松/平静] -> [推荐/下次还来],[江风] -> [舒适/惬意]
[欧式建筑] -> [宁静平和]; [街头博物馆] -> [展示街区特色],[宁静平和] -> [放松/平静]; [怀旧氛围] -> [怀旧/温馨],[放松/平静] -> [适合散步和拍照],[矮小秀气的建筑] -> [放松/平静]
[阅江楼; 中山码头; 天妃宫; 民国首都电厂旧址; 长江江豚主题邮局; 下关火车主题公园] -> [具有文化意义],[文化意义] -> [兴趣/好奇],[兴趣/好奇] -> [盖章打卡活动],
[浦口火车站] -> [朱自清文学作品关联],[文学联想] -> [兴趣/好奇]; [文学回忆] -> [怀旧/温馨],[兴趣/好奇] -> [主动学习初中课文],[浦口火车站历史氛围] -> [怀旧/温馨]
,[无法愈合的伤痕] -> [悲伤/失望]; [应被遗忘的记忆] -> [紧张/焦虑],[悲伤/失望] -> [勿忘历史],
[红云桥] -> [最佳落日观赏地]; [望江亭] -> [没有过度开发且宁静],[宁静氛围] -> [放松/平静]; [鱼鹰飞翔] -> [敬畏/惊叹]; [钟声回响] -> [怀旧/温馨],[愉悦/开心] -> [推荐给他人]; [放松/平静] -> [站林中感受浪涛],[夕阳下的鱼鹰] -> [敬畏/惊叹]; [钟声] -> [怀旧/温馨]
[铁路轮渡栈桥] -> [有年代变迁的轨迹],[有年代变迁的轨迹] -> [怀旧/温馨],[怀旧/温馨] -> [参观历史遗迹],[铁路发展印迹墙] -> [兴趣/好奇]
[铁路轮渡] -> [有历史感],[有历史感] -> [怀旧/温馨],[怀旧/温馨] -> [推荐/想常来],[铁轨与渡轮之间的碰撞声] -> [敬畏/惊叹]
[浦口火车站近代建筑风貌区] -> [算有点看头]; [小吃推车] -> [丰富],[不算难看] -> [满意]; [有商业活力] -> [兴趣/好奇],[兴趣/好奇] -> [仔细游览]; [满意] -> [推荐],[民国风情建筑] -> [兴趣/好奇]
[朱自清雕像] -> [有创意的互动场景],[轻松幽默氛围] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[朱自清合影场景] -> [兴趣/好奇]
[浦口火车站] -> [怀旧感]; [街道改造] -> [难以想象],[怀旧] -> [放松/平静]; [焦虑状态] -> [焦虑],[焦虑] -> [出门遛弯/看书]; [放松/平静] -> [情绪改善],[浦口火车站] -> [怀旧感]
[蒸汽火车头; 绿皮火车车厢; 轨道; 信号灯; 老式火车站候车厅; 站台] -> [具有民国特色]; [津浦书院; 詹天佑雕像; 展板] -> [有文化底蕴],[有历史感] -> []; [有文化底蕴] -> [],[] -> [],[民国特色建筑] -> []
[民国海军医院旧址] -> [有历史感],[有历史感] -> [无明显情感],,[民国海军医院旧址] -> [有历史感]
,,,
[铁路轮渡栈桥] -> [中国最早的火车轮渡]; [下关火车主题公园] -> [有历史感],[有历史感] -> [怀旧/温馨],[怀旧/温馨] -> [推荐/下次还来],[火车主题] -> [兴趣/好奇]
