行为活动_Behavior_Activities,行为活动_Behavior_Approach_Avoidance_Intent,行为活动_Behavior_Plan_Change,行为活动_Behavior_Activity_Evaluation
乘坐公交; 购买咖啡; 饮用咖啡,想常来,否,整个咖啡获取过程让人感到幸福
参观博物馆; 登山; 游览古街; 参观动物园; 观景; 拍照; 城市漫步,还想再去一次南京,否,整体体验良好，回忆美好
拍照; 观看江豚; 骑行; 散步; 参观场馆; 听讲解; 录像; 观看火车; 欣赏落日; 阅读图文展示; 合影留念,强烈推荐; 想常来; 推荐给喜欢摄影、历史文化的朋友,否,骑行方便; 拍照体验很好; 参观图文馆很有收获
休息; 休闲放松,,否,对休闲活动感到放松
游览; 拍照; 观景; 踩霓虹灯散步; 乘坐轮渡,推荐玻璃栈桥；对电厂改造表示失望，可能不会再来,否,游览过程总体满意，尤其喜欢玻璃栈桥和夜景
参观; 拍照; 观看展览,推荐,否,参观体验丰富且有意义
亲子活动,,否,
散步; 观景; 打卡,推荐; 值得走一趟,否,散步舒适且打卡地丰富
乘坐轮渡; 参观游览; 拍照; 散步,无明确意图,否,
打卡; 观看日落,推荐; 想常来,否,非常浪漫且值得体验的日落打卡活动
公共交通出行,,否,
拍照; 打卡; 游览,推荐; 下次还来,否,对照片效果感到满意
乘坐公交; 旅游出行,鼓励使用公交游览城市景点,否,
,无法判断,无法判断,无法判断
乘坐轮渡; 观赏日落; 赏花; 拍照,推荐/想再来,否,看日落很浪漫、赏花很出片
,想再次参观,无法判断,
阅读; 参观; 收集; 分享,推荐/有兴趣前往,否,收集从来不是最快乐的事，分享才是
,,,
游览; 拍照; 散步; 观景; 乘坐轮渡,未明确表达回避或推荐意愿，但强调会继续分享,否,对滨江风景高度评价，对电厂现状感到遗憾
观景; 拍照; 散步; 亲子活动; 就餐,推荐; 想常来,否,小朋友非常兴奋; 家庭氛围很好
打卡; 拍照,推荐/下次还来,否,拍照体验良好
,,否,
拍照; 观景; 打卡,推荐; 下次还来,否,感受到南京的悠悠古韵与蓬勃生机
观看视频,,否,
,,否,
乘坐轮渡; 观景; 拍照,推荐; 下次还来,否,首次体验感到满意
自驾游览; 参观历史景点; 朝圣宗教场所,推荐/下次还来,否,感受到文化熏陶和家族团聚的喜悦
散步; 拍照; 观景; 游览; 阅读留言,期待秋季再来,否,拍照体验良好
散步; 购物; 饮食; 听曲,无明显倾向性,否,通过日常活动感受季节变化
city walk; 参观历史建筑; 观景,,,
摄影; 散步; 观景,推荐(记住亮灯时间),否,需要合理规划拍摄路线
摄影; 城市漫步; 游览; 打卡,推荐; 想常来,否,拍摄体验满意并愿意再次打卡
,,,
志愿服务; 核酸检测准备; 接待登记,主动参与志愿服务,否,顺利完成准备工作
参观; 学习; 交流心得,推荐; 表达继续参与类似活动的意愿,否,活动具有深刻教育意义
观景; 拍照; 打卡; 亲子活动; 看日落; 散步,推荐; 下次还来,否,拍照很出片; 散步很放松
登山; 等待日出; 观赏风景; 拍照; 购物; 散步; 用餐,推荐/想再来/常来,否,登山过程轻松；日出震撼；拍照体验满意
,,,
摄影; 游览; 观景,推荐/有兴趣再来,否,摄影体验良好
徒步游览; 历史文化学习; 集体活动; 诗歌创作,积极参加意愿（需要扫码报名）,否,结合诗歌创作与历史文化学习的独特体验
参观游览; 拍照打卡; 追忆往事,推荐/下次还来（隐含）,否,
散步; 拍照; 观景; 游览历史遗迹; 阅读文学作品相关地点; 城市探索,推荐; 想常来,否,认为黄昏日落和夜晚码头都很美
项目入选; 教材编写; 经验推广,推荐学习,否,
参观; 拍照; 游览,推荐/下次还来,否,游览体验良好，获得意外收获
乘坐轮渡; 拍照; 摄影采风; 参观; 观赏江景; 独处放空; 喝咖啡,推荐; 想常来,否,拍照体验满意; 独处放空体验好; 咖啡体验值得
观景; 拍照; 游览,推荐/有兴趣前往,否,
散步; 游览,推荐/想尝试,否,散心体验良好
,,,
散步; 休憩; 遛弯; 拍照,推荐; 想常来,否,休闲体验舒适便捷
,,,
参观公园; 乘坐轮渡; 游览火车站; 就餐体验,会推荐南堡公园、火车站等景点，但餐厅选择可能偏向其他,否,对餐厅口味有明确评价
观景; 缅怀; 参观,推荐/想常来,否,享受独处时光
乘坐轮渡; 观景,推荐,否,
,,否,
拍照; 拍摄,推荐; 想常来,否,拍摄体验很好，出片效果满意
散步; 观景,推荐/适合秋季游览,否,散步很舒服
,,,
参观; 游览; 学习历史,推荐（吸引众多市民）,否,具有教育意义和历史价值的参观体验
观看落日; 拍摄视频,,,
文化走读; 历史探索; 阅读行走,推荐; 想常来,否,沉浸式体验成功挖掘人文底蕴
游览; 通勤,,否,
乘坐轮渡; 观赏夕阳; 游览; 拍照; 阅读文学联想,想常来,否,享受了‘两块钱的快乐’，对轮渡和历史氛围感到满意
游览; 参观展览; 学习历史; 拍照打卡,推荐,否,对火车历史的深入了解感到满意
跑步; 骑行; 观景,推荐作为新的Citywalk方式,否,跑步路线顺畅且具有观赏性
,,,
参观; 拍照,推荐/下次还来,否,氛围感很好
乘坐公交; 观看日落,下次期待再次遇到,否,虽为意外收获但感到满意
参观; 思考,,否,
参观; 游览,推荐/想来,无法判断,无法判断
游览; 观景; 怀旧,推荐/欣赏,否,
,,,
参观游览; 拍照打卡; 感受历史; 阅读学习,推荐/值得参观,否,铁路老物件带来深刻的教育意义和情感共鸣
乘坐公交; 跨江轮渡,推荐/会再来（隐含在分享路线中）,否,对公交和轮渡组合的出行方式表示满意
参观; 探索,不会推荐/不会再来,否,对内部空置状态感到失望
拍照; 观景; 打卡,推荐; 想常来,否,打卡体验满意
出行申请,Approach (积极意愿),否,
骑行; 拍照; 观景; 打卡; 听讲解; 阅读; 看日落; 散步,推荐; 想常来,否,骑行很顺畅; 拍照很出片; 听讲解很有趣; 看日落很治愈
计划游览,想去下关火车主题公园,否,
散步; 发呆; 观景,想常来,否,发呆很放松
观赏红叶; 观景; 拍照; 乘坐船只; 品尝美食,推荐,否,体验满意
,,否,
,无法判断,无法判断,无法判断
参观; 拍照; 打卡,推荐; 想常来,否,
乘坐轮渡; 游览,有兴趣前往体验,否,
,,否,
跑步; 骑行; 观景; 拍照; 游览,推荐; 下次还来,否,跑步很顺畅; 景色开阔令人震撼
,,,
游览; 参观老建筑; 逛街,未明确表示是否推荐或重访,否,对老建筑更感兴趣，认为其更有价值
打卡,,,
游览; 沉思,,否,
乘坐轮渡; 游览,无明确意图表达,否,
city walk; 乘坐轮渡; 观景; 拍照,推荐,否,轮渡体验有趣; 拍照出片
乘坐轮渡; 游览; 拍照; 时空穿越体验,推荐/想再来,否,
散步; 游览; 观景,表达对长江大桥的欣赏与推荐倾向,否,观赏大桥时感到震撼与自豪
,,否,
拍照; 打卡; 观景,推荐,否,
,,,
参观; 打卡,推荐/下次还来,否,
观看视频; 了解历史,无明确意图,否,
拍摄落日; 观看视频,对网红内容感兴趣（接近意愿）,是（从单纯拍落日转向关注网红内容）,无法判断
座谈会; 实地参观考察; 建言献策; 观摩执法,推荐; 想常来,否,参观者充分肯定城市管理工作成效
游览; 观景; 思考历史,可能推荐（基于历史价值）,否,感受到历史厚重感
散步; 观景; 观江豚,推荐,否,
散步; 观察自然; 参观尝试; 观看历史建筑,推荐; 下次还来,否,对水质和历史氛围感到满意
观景; 拍照; 乘坐轮渡,,否,
讨论,,否,对火车站现状的信息交流
游览; 拍照留念; 骑行; 步行; 观景; 宗教祈福,推荐; 下次还来,否,感受到深刻的文化和家庭意义
赶集/购物; 观赏烟花; 参加民俗活动; 观灯赏景,推荐/想再来,否,春节期间在江北过年的体验丰富有趣
,,否,
计划打卡; 前往码头; 等待摆渡船; 取消行程; 打游戏; 自拍,不会推荐/不会再来（因餐厅装修）,是（原计划看日落→改为在家活动）,虽然没看到日落但与女儿共度时光也很愉快
游览; 拍照; 观景; 聆听声音; 乘坐公交,推荐; 下次还来,否,觉得是一种别样的享受
参观; 游览; 拍照; 观景; 乘坐轮渡,会推荐/想再来,否,对滨江风景感到满意但对原电厂现状失望
驾车出行; 游览; 聊天,,否,
观景; 拍照,推荐/下次还来,否,日落观赏体验良好
乘坐轮渡; 乘坐网约车; 骑行共享单车,无明确意愿表达,否,
拍照; 打卡; 观景; 回忆; 游览,推荐; 想常来,否,适合拍照打卡; 体验怀旧氛围浓厚
观看; 拍摄,未明确表达，但标题暗示一定兴趣,无法判断,无法判断
拍照,推荐; 想常来,否,拍照很出片
用餐; 步行; 乘坐轮渡; 观景,表达满足感，隐含推荐倾向,否,认为一天行程充实而满足
看日落,,,
路过; 参观; 查阅资料,想深入了解/推荐,否,通过查阅资料获得了丰富的历史知识
观景; 拍照; 观察江豚,推荐; 推荐他人前来打卡,否,打卡体验令人惊艳
乘坐轮渡,无明确倾向,否,
散步; 游览; 拍照; 走路健身,推荐; 想常来,否,步行很放松; 拍照出片
乘坐轮渡; 游览浦口火车站; 品尝本地美食,推荐/下次还来,否,首次体验轮渡+历史地标+老字号美食，整体满意
参观游览; 走一走看一看; 重温历史,推荐/感兴趣,否,感知一次老火车站的风华如诗
拍照; 观景; 打卡,推荐/下次还来,否,看到好看的日落
散步; 拍照; 观景; 打卡; 阅读/联想; 骑行,推荐; 下次还来,否,拍照很出片；打卡体验满意
散步; 遛娃; 观景; 拍照,推荐; 下次还来,否,遛娃很轻松愉快
观景; 拍照,推荐/下次还来,否,成功捕捉到理想景观
回忆; 生活,,否,
骑行; 乘坐轮渡; 游览; 品尝美食; 晒太阳,推荐/会再来,否,扬子江公园体验舒适；浦口火车站参观虽匆忙但满足期待
拍照; 参观; 了解历史; 遛娃; 休息; 喝咖啡,推荐; 下次还来,否,非常适合拍照打卡
拍照; 约拍; 车模展示,推荐; 想常来,否,拍摄出片效果满意
散步; 观景; 拍照; 听声音; 反思旅行方式,南京很好下次还来,是（改变旅行心态：下次不跟摄影师生气）,反思旅行方式，希望更安静地感受文化
散步; 拍照; 观景; 摄影,推荐; 下次还来,否,拍照体验很好；认为是摄影爱好者的天堂
乘坐轮渡; 游览,推荐/感兴趣,否,
观看视频; 浏览信息,,,
散步; 发呆; 观景; 拍照,推荐; 下次还来,否,休闲很放松
观景; 拍照,推荐/下次还来,否,对拍摄效果满意
拍照; 打卡; 观景,推荐; 下次还来,否,拍照体验很好
散步; 观景; 拍照; 休闲; 骑行,推荐; 下次还来,否,散步很放松; 拍照很出片
团建,不会推荐/不会再来,否,
游览; 参观; 学习历史,推荐/有兴趣参观,否,
,,,
观景; 打卡; 围观,推荐; 下次还来,否,看到江豚很开心
散步; 拍照; 观景,推荐; 下次还来,否,随手一拍就是大片感
,,,
观景,常来; 喜欢,否,感到幸福
,,否,
,,,
,,,
,,否,
乘坐轮渡; 拍照; 散步; 观景; city walk; 摄影; 参观历史遗址; 看江豚,推荐; 下次还来,否,收获一下午的快乐
品尝美食; 乘坐轮渡; 拍照; 参观历史遗迹; 散步; 观景; 阅读历史背景; 写真拍摄,推荐; 想再来,否,整体体验满意; 美食和风景都很棒
拍照; 摄影; 休闲散步; 观赏晚霞; 纳凉; 约会,推荐; 下次还来,否,拍照出片率高，体验良好
游览; 拍照; 回忆,推荐/下次还来,否,
,,否,
观看; 拍照打卡,推荐/想来看,无法判断,
,,,
乘坐轮渡; 散步; 拍照; 观景; 参观历史遗址; 阅读(江豚书屋); 影视取景地游览,推荐; 想常来,否,拍摄体验好; 游览体验丰富
散步; 晒太阳; 购物; 发呆; 拍照; 观景,推荐; 下次还来,否,整个行程很完美
参观; 游览; 散步,听说玻璃栈道特意去一探究竟（接近意愿）; 因设施关闭未继续游览（回避）,是（因电梯关闭和公园整修改变了原计划）,2020年实现愿望感到满足
打卡; 参观,推荐/想来,否,
观景; 拍照; 观赏野生动物,推荐; 下次还来,否,看到江豚感到惊喜，落日很美
观看视频,无明确意图,否,
乘坐轮渡; 观景,推荐/适合来,否,心旷神怡
参观; 拍照; 学习/了解历史,,否,通过铁路印迹墙了解中国铁路发展历程
停留; 观察,Approach,否,
参观游览; 了解历史; 观景,推荐/有兴趣前往,否,具有教育意义和观赏价值
,,,
拍照,推荐; 想常来,否,拍照体验满意
乘坐公共交通; 实地体验; 通勤,推荐/愿意再次乘坐,否,认为210路公交缓解了客流压力、提升了出行效率
city walk; 观光游览; 参观博物馆; 瞻仰纪念地; 拍照打卡,推荐/想来体验,否,整体体验良好
拍照; 散步,,否,
散步; 观景; 打卡,推荐/想再来,否,心情愉悦舒畅
,,否,
参观,推荐/下次还来,,
游览; 探索,推荐/有兴趣来,否,
乘坐轮渡; 观赏日落; 拍照,推荐/可能再来（隐含在积极描述中）,无法判断,对日落观赏体验满意
滑板运动; 拍照; 观看落日; 视频拍摄,推荐; 下次还来,否,滑板运动体验很好; 拍摄效果满意
游览; 聆听声音; 拍照; 交流互动,,否,通过声音感知长江印象，具有文化意义和情感价值
,,否,
,无法判断,无法判断,无法判断
,间接推荐（通过媒体传播）,否,
散步; 观景; 拍照; 看日落,推荐; 想常来,否,看江边日落的炫丽温情
,,否,
拍摄Vlog; 摄影Plog; 观赏日落; 散步,推荐; 下次还来,否,拍摄体验很好; 日落非常出片
拍照; 打卡; 观景; 欣赏艺术; 阅读歌词联想,推荐; 下次还来,否,摄影体验好; 场景富有文艺气息令人满意
打卡; 参观,推荐/下次还来,否,
工业改造; 城市更新,无明显倾向,否,
旅行; 摄影,推荐/感兴趣,无法判断,适合摄影
散步; 游览; 观察,下次还来,否,观察体验丰富且有意义
,推荐/想再来,否,
散步; 观景; 拍照,无法判断,否,无法判断
游览; 拍照观看; 购物; 餐饮; 长途交通,劝退/不会再来,是（因公园面积大且无趣改为观看婚纱拍摄）,购物失败；交通疲惫；旅游体验差
学习; 参观,接近意愿（主动前来学习）,否,
拍照; 观景,通过诗意表达暗示了积极的体验和可能的重访意愿,否,摄影活动获得了满意的情感结果
观察江豚; 参观科普馆; 购买纪念品; 盖章收集; 阅读江豚书籍; 乘坐观光船; 参加公益讲解,推荐前往但需注意不确定性,否,科普性强且有趣
观景; 拍照; 看轮渡; 发呆,推荐/下次还来,否,只要夕阳出现就很舒服
骑行; 拍照; 游览,推荐; 下次还来,否,骑行很顺畅; 拍照很出片
参观; 游览,推荐/感兴趣,否,
徒步; 参观纪念馆; 拍照; 观景; 打卡; 骑行,推荐; 下次还来,否,跑得很舒服; 拍照很出片
打卡; 游览,推荐（隐含）,否,
喝咖啡,推荐/暗示会再来,否,
观景; 拍照,推荐观赏,否,赏花体验令人愉悦
就餐; 聚餐,会推荐给朋友（隐含）,否,对食材质量表示满意
拍照; 观景; 散步,推荐/下次还来,否,
